Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Xetucanbang.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Xetucanbang\Xetucanbang.PrjPcb|ReportField=Title~Bill of Materials For Project [Xetucanbang.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~09:05:15 AM|ReportField=ReportDate~10/21/2018|ReportField=ReportDateTime~10/21/2018 09:05:15 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~34|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/21/2018|ReportField=CurrentTime~09:05:11 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Xetucanbang\Sheet3.SchDoc|ReportField=DocumentName~Sheet3.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/21/2018|ReportField=Organization~|ReportField=ProjectName~Xetucanbang.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Xetucanbang.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Xetucanbang\Xetucanbang.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap Pol SMD|Polarized Capacitor (Radial)|C1, C2|CAP ALU SIZE C|Cap Pol SMD|2
2|Cap Non-Pol SMD|Capacitor|C?, C3, C4, C5, C6, C7, C8, C9|CAP-SM-0805|Cap Non-Pol SMD|9
3|Header 5|Header, 5-Pin|CC1|JP5|Header 5|1
4|LED SMD|LED|D1, D2|LED_0603_Blue|LED SMD|2
5|Header 7X2|Header, 7-Pin, Dual row|H_Bridge|JP7X2|Header 7X2|1
6|EK-TM4C123GXL|Evaluation Kit For ARM Cortex-M4F-based Microcontrollers|IC1|TM4C123LAUNCHPAD|EK-TM4C123GXL|1
7|LM1117|Available in 1.8V, 2.5V, 2.85V, 3.3V, 5V, and  Adjustable Versions|IC2|SOT223-4N|LM1117|1
8|JP4|WR-PHD 2.54 mm Angled Socket Header|JP1, JP2|JP4-C1T|JP4|2
9|Header 8|Header, 8-Pin|MPU1|JP8|Header 8|1
10|Res SMD|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12|RES-SM-0805|Res SMD|12
11|SN74HC245DWR|Logic IC - Receiver, transceiver Texas Instruments SN74HC245DWR SOIC 20|U1|SOIC127P1030X265-20N|SN74HC245DWR|1
12|74HC14D|74HC CMOS logic IC series SOIC14 Hex Schmitt Inverter|U2|SOIC127P600X175-14N|74HC14D|1
